Precipitacion;Temp_Aire_med;Temp_Aire_max;Temp_Aire_min;Temp_Rocio_med;Humedad_med;Presion_Atm_med;Insolacion;Evaporacion;semana
0,0;25,3;29,5;20,6;16,2;58,0;999,0;11,2;0,0;6,0
0,0;26,3;31,5;18,6;14,9;50,0;997,0;11,5;0,0;6,0
3,8;28,7;35,1;20,8;21,2;64,0;997,0;9,2;3,8;6,0
38,5;29,8;34,0;25,6;21,0;76,0;994,0;4,0;38,5;6,0
35,7;21,9;22,0;21,8;21,3;95,0;995,0;s/d;35,7;6,0
1,5;24,6;27,5;21,6;22,9;90,0;994,0;s/d;1,5;6,0
0,0;26,6;30,0;21,8;19,8;67,0;994,0;9,2;0,0;7,0
0,0;25,7;30,5;20,9;19,7;71,0;995,0;10,8;0,0;7,0
0,0;27,2;32,0;20,8;20,3;67,0;998,0;10,7;0,0;7,0
0,6;28,9;33,0;23,2;24,4;77,0;1001,0;6,2;0,6;7,0
0,0;30,6;34,0;24,3;22,6;64,0;998,0;11,0;0,0;7,0
0,0;30,2;35,0;24,4;21,6;62,0;995,0;11,3;0,0;7,0
0,0;31,7;35,0;25,0;22,3;59,0;996,0;11,2;0,0;7,0
0,0;29,6;34,5;25,3;23,7;71,0;999,0;5,7;0,0;8,0
0,0;31,9;35,5;25,6;22,6;59,0;1002,0;11,0;0,0;8,0
0,0;32,4;37,2;25,0;22,5;57,0;1000,0;s/d;0,0;8,0
19,7;33,1;36,8;25,4;22,0;53,0;998,0;s/d;19,7;8,0
9,1;29,7;33,8;23,0;23,0;68,0;998,0;s/d;9,1;8,0
0,0;28,8;33,0;22,3;22,2;70,0;998,0;s/d;0,0;8,0
0,5;28,0;33,5;22,5;0,0;s/d;s/d;s/d;s/d;8,0
5,6;28,0;33,0;23,0;0,0;s/d;s/d;s/d;14,0;9,0
15,9;29,3;34,6;23,9;sd;s/d;s/d;s/d;9,5;9,0
0,6;26,7;29,0;24,8;23,0;81,0;995,0;s/d;s/d;9,0
0,0;29,6;33,5;24,1;23,0;69,0;992,0;s/d;0,0;9,0
